Instance: Direction_Num_16_ID_6_R_6
Steiner-visit: False
Benders Cut: Mileage
Formulation: DFJ
OFV: 518.6021787719573
Runtime: 1873.9820001125336
Gap: 0
Path: 
50.0 50.0
76.8321 19.4233
90.3005 24.9973
90.9787 25.2781
104.752 30.9795
104.2878 29.2784
84.1595 5.7303
84.2838 5.9987
91.1191 20.7697
88.0646 24.2893
59.925 11.5818
19.2691 14.8754
20.9492 25.395
23.0042 54.6104
42.8157 77.8661
42.8597 77.9177
25.2215 51.296
25.2215 51.296
37.9354 63.8863
40.6712 66.5959
62.3605 88.071
72.2027 82.4413
86.0233 87.6726
93.2212 80.968
102.8255 94.5814
103.6489 96.0493
110.8384 108.8752
92.6968 116.0182
75.3236 93.9584
75.3236 93.9583
59.9382 67.1833
58.3724 64.4574
51.2749 52.2022
50.0 50.0
