Instance: Direction_Num_12_ID_8_R_2
Steiner-visit: False
Benders Cut: Mileage
Formulation: DFJ
OFV: 542.6013362189942
Runtime: 2.239000082015991
Gap: 0
Path: 
50.0 50.0
41.1598 45.8329
21.9749 28.0073
26.6669 31.8793
5.5292 11.5158
34.1759 6.8488
50.3868 21.4452
51.5826 26.604
40.4658 15.1896
55.487 11.3108
74.9347 29.0885
80.0764 49.191
91.1868 62.2807
90.039 56.6666
100.6706 68.4909
100.5385 93.0814
118.0835 114.9247
77.5115 101.7847
66.4076 94.1955
27.9226 105.5169
11.4202 92.4192
77.5537 85.4975
57.9492 59.7845
58.6758 59.6204
44.4724 44.6961
50.0 50.0
