Instance: Direction_Num_16_ID_8_R_2
Steiner-visit: False
Benders Cut: Mileage
Formulation: DFJ
OFV: 633.3779039172165
Runtime: 8.905999898910522
Gap: 0
Path: 
50.0 50.0
22.7945 67.2343
29.6603 77.7466
24.1869 85.5359
12.0389 72.9065
14.1666 67.2323
6.68 54.2138
16.6829 36.5433
29.5766 44.9627
35.3194 40.3022
17.1879 14.3972
12.1811 5.7103
37.2714 25.3037
37.3255 22.5288
28.5756 13.8059
32.6777 31.1535
55.7622 59.9972
52.9638 62.8972
67.3053 83.4091
75.9697 95.7964
91.6696 114.6622
93.4225 93.9288
114.183 113.5729
115.4546 97.7179
94.0467 72.1993
108.3824 43.7483
87.8297 22.393
83.0256 45.0027
65.7213 26.4315
65.5045 26.1991
48.8684 8.3412
49.3146 8.9127
64.9605 28.9553
50.0 50.0
