Instance: Direction_Num_12_ID_18_R_4
Steiner-visit: False
Benders Cut: Mileage
Formulation: DFJ
OFV: 517.9773060285521
Runtime: 2.7730000019073486
Gap: 0
Path: 
50.0 50.0
45.9402 53.9077
30.8673 45.0591
14.8844 89.9267
24.2599 99.8506
41.0672 80.7633
58.6739 89.9964
79.7524 98.6954
93.0045 104.1659
119.5666 100.8741
101.9172 80.4711
111.97 66.9333
91.2775 39.442
97.8493 15.1666
113.7834 27.6868
113.9011 26.1915
94.6433 5.3729
78.7897 36.2714
60.3365 25.1046
48.7988 18.125
29.7297 6.1634
25.1487 21.513
41.3216 38.4392
36.3335 30.2692
53.9625 48.362
50.0 50.0
