Instance: Uniform_Num_20_ID_15_R_6
Steiner-visit: True
Benders Cut: Mileage
Formulation: MTZ
OFV: 573.9100004141908
Runtime: 3600.088000059128
Gap: 0.2540675218408279
Path: 
50.0 50.0
69.1396 54.7612
70.4733 50.8599
82.1704 45.407
90.0045 44.9431
94.9873 65.1147
112.6994 89.7818
95.024 92.8043
86.9819 90.2491
79.3272 87.8175
75.5905 88.769
77.8404 95.3035
63.1638 103.059
41.814 63.5158
35.4897 51.7976
35.3288 51.4993
23.3729 63.5784
20.3124 66.673
9.577 70.3892
8.0699 71.3517
14.7302 87.6024
24.7364 81.3987
37.5273 73.4687
39.399 68.0941
47.453 44.9786
51.1388 34.3999
59.4853 10.4455
51.6965 22.5873
18.6543 34.058
-6.3379 18.35
3.7879 6.5251
10.6941 -1.5388
15.4938 9.6587
20.3102 15.992
26.3126 22.6458
33.3581 30.4536
33.3581 30.4536
35.8589 27.626
40.1636 7.9218
41.186 11.0273
48.8738 34.3729
50.0 50.0
