Instance: Uniform_Num_12_ID_20_R_4
Steiner-visit: True
Benders Cut: Mileage
Formulation: MTZ
OFV: 509.924268184713
Runtime: 1.5550000667572021
Gap: 0
Path: 
50.0 50.0
55.4733 51.6575
72.5656 56.8331
67.293 46.8118
97.4281 55.1962
93.501 51.3297
92.6216 73.6301
91.7319 96.2081
72.0471 100.0704
55.6578 103.2864
34.2785 111.3901
30.0147 91.1927
38.9004 78.1133
36.8356 76.1016
15.858 78.7131
15.7083 56.026
-9.7793 51.6139
-23.7985 37.4634
6.5097 32.1409
9.7621 31.5699
-2.7644 15.2623
-7.4076 12.5071
6.0807 6.6134
84.1378 12.4814
58.1429 33.9595
50.0 50.0
