Instance: Uniform_Num_16_ID_16_R_6
Steiner-visit: True
Benders Cut: Mileage
Formulation: MTZ
OFV: 474.7823256539968
Runtime: 3600.1159999370575
Gap: 0.06418148235249506
Path: 
50.0 50.0
45.1946 53.3815
45.679 52.4198
62.8241 28.9238
68.4143 30.2791
71.4865 31.0244
83.3024 33.8829
89.82 35.4623
89.4352 20.3691
88.918 0.2134
80.0241 1.7205
61.8562 1.68
38.7849 -11.3963
31.2753 3.4465
28.4277 38.5596
43.0431 71.9665
17.1116 64.1358
15.9891 67.6885
11.2014 82.8829
10.7781 84.2202
18.7983 105.7989
38.1186 105.7446
40.355 92.4455
41.0241 88.4546
48.6675 90.0519
51.3111 98.3761
62.9613 90.3956
67.8956 87.0125
84.5985 83.5845
90.2031 82.4363
84.9984 64.9439
81.5816 62.2605
55.0581 41.4568
50.0 50.0
