Instance: Uniform_Num_16_ID_8_R_2
Steiner-visit: True
Benders Cut: Boundary
Formulation: DFJ
OFV: 674.5694165346414
Runtime: 0.39800000190734863
Gap: 0
Path: 
50.0 50.0
37.1357 61.5882
67.1141 41.3685
75.5839 44.74
67.5085 75.3061
68.1398 70.17
55.5375 76.9267
57.1663 71.0051
57.5776 87.9079
61.5163 88.9311
53.2854 123.5396
4.1323 114.0103
8.3095 82.0596
8.4038 83.113
9.8065 98.7785
17.2058 82.53
0.8924 64.9709
-0.4415 63.719
28.9789 60.3483
10.8706 47.9384
31.0905 20.0391
48.7522 31.9115
76.9343 29.2198
68.6707 23.0506
70.2823 -7.845
87.1023 8.786
106.4013 -2.4414
121.5048 32.8443
93.5226 30.6651
91.7694 41.208
64.5601 42.2016
62.1263 42.2446
46.9535 39.9674
50.0 50.0
