Instance: Uniform_Num_16_ID_8_R_4
Steiner-visit: True
Benders Cut: Boundary
Formulation: DFJ
OFV: 560.49596300575
Runtime: 21.199999809265137
Gap: 0
Path: 
50.0 50.0
30.7323 22.07
12.8663 47.7619
27.0562 59.7951
1.4192 64.457
2.6231 65.9055
15.315 81.1794
11.4128 82.6328
10.9438 85.1705
8.2849 99.5573
5.815 112.9268
52.1523 121.8911
59.2349 87.7017
59.1632 87.0201
58.2856 78.6778
59.5511 72.3987
65.1644 73.7862
67.3978 66.5892
73.8601 45.7585
68.6185 44.311
90.6725 39.5232
94.3958 32.4908
119.7554 31.8625
105.5306 -0.6317
87.4158 6.8102
71.2578 -6.0882
70.6716 22.6868
75.0351 28.5895
50.0307 37.4367
49.3617 37.8722
63.0253 40.3732
59.6238 43.1375
38.6025 60.2232
50.0 50.0
