Instance: Uniform_Num_20_ID_15_R_6
Steiner-visit: True
Benders Cut: Boundary
Formulation: DFJ
OFV: 593.9520437530788
Runtime: 3600.4100000858307
Gap: 0.25536459514745613
Path: 
50.0 50.0
67.3958 46.405
87.9229 42.165
85.0577 43.7144
77.8951 58.8613
91.3171 71.0472
112.5131 90.3026
95.1012 92.8101
86.8905 90.211
79.3294 87.8176
75.5911 88.7678
77.8388 95.3076
63.1641 103.0591
42.3371 64.4868
35.5141 51.842
35.3296 51.4994
23.4725 63.4763
20.3128 66.6728
8.2031 70.8598
8.2031 70.8598
14.7699 87.6154
24.7307 81.4242
36.7355 73.9628
37.5251 73.4714
47.1723 45.7664
51.0613 34.5847
59.4661 10.4361
51.3824 22.8527
23.3622 37.3682
27.2155 35.5657
7.9474 18.1953
-6.6756 17.0813
2.8883 6.9197
10.8301 -1.5196
20.4109 16.1169
26.5073 21.6607
35.2547 29.6091
35.2547 29.6091
40.1415 7.9229
42.1832 14.1014
48.8742 34.3749
50.0 50.0
