Instance: Direction_Num_16_ID_12_R_2
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 553.4215758707319
Runtime: 114.48799991607666
Gap: 0
Path: 
50.0 50.0
58.782 59.056
71.8577 72.5367
75.4646 58.53
84.9535 69.7792
87.9477 76.5627
100.0555 90.9863
84.5013 86.4339
105.9479 106.1679
120.7651 96.7571
101.5902 70.4613
101.3551 67.9793
93.584 54.5557
95.9076 48.5692
106.6131 56.9925
97.4555 56.3762
84.1343 45.7069
80.4588 42.489
72.9567 35.9196
67.225 19.5921
55.4822 6.2999
41.0732 22.0351
48.032 32.7504
33.6626 38.5748
16.7313 26.2591
14.3418 54.1661
24.881 68.1404
34.5477 80.958
37.0499 84.2757
9.4637 92.4993
21.6439 102.1707
50.1516 81.927
36.929 64.8527
50.0 50.0
