Instance: Direction_Num_16_ID_12_R_6
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 409.8191100829671
Runtime: 3600.2109999656677
Gap: 0.07982497887845243
Path: 
50.0 50.0
59.4469 58.1598
71.4635 68.5389
75.1597 62.5784
81.6049 71.9676
84.8296 77.3205
87.5514 81.8386
98.3879 93.4833
106.5068 102.2054
116.98 95.4161
105.3951 69.2224
104.4684 65.5151
103.2549 60.6593
97.6662 55.0409
94.5667 51.925
92.3223 49.6689
85.9277 43.2405
85.1618 42.4705
75.6752 32.9342
65.8797 21.8683
55.6375 10.2984
44.7656 23.7867
44.9393 30.0345
33.3507 34.5604
19.2423 29.4228
18.2822 53.4416
24.4619 65.6325
31.4271 79.3615
33.2641 82.9842
13.4822 92.5819
21.5502 98.1701
46.3998 80.441
40.9041 65.3468
50.0 50.0
