Instance: Direction_Num_16_ID_2_R_2
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 578.0356825344065
Runtime: 35.66200017929077
Gap: 0
Path: 
50.0 50.0
19.709 66.8468
7.23 54.8203
15.5539 42.7466
38.1315 58.2359
47.3615 54.8749
37.6497 42.0655
38.8323 40.6156
17.0655 18.5912
43.7295 17.1739
58.3355 28.1076
70.0596 15.6094
78.8717 24.113
92.903 37.6488
99.2983 40.7317
123.586 26.475
96.3344 4.1663
75.5392 4.9837
83.4106 16.3717
90.6484 24.4579
97.0526 32.3462
84.382 42.2679
91.8674 52.3751
65.5249 63.9023
78.842 78.6996
77.3238 90.8831
87.2897 103.2621
94.8618 97.2249
85.1852 81.1183
80.1835 69.1257
73.2162 62.0414
64.3691 53.0462
46.8705 37.8219
50.0 50.0
