Instance: Direction_Num_16_ID_8_R_2
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 589.1866437107321
Runtime: 37.776999950408936
Gap: 0
Path: 
50.0 50.0
30.4608 45.1187
16.7029 36.5383
6.68 54.2138
14.1667 67.2334
12.0387 72.9054
24.188 85.5358
29.66 77.7709
22.6591 67.6412
50.2508 64.6062
67.1804 83.672
75.9593 95.783
91.6696 114.6622
93.423 93.9286
114.1833 113.5728
115.4548 97.7186
94.0467 72.1993
108.3823 43.7477
87.8281 22.3935
82.9969 45.0109
67.3783 29.2722
65.8007 27.6815
64.0991 25.9658
48.3838 10.1252
47.0113 8.7404
29.4884 12.7187
37.2898 22.4336
37.2624 25.308
12.1805 5.7108
17.1315 14.3132
31.8319 31.2537
38.7914 39.2478
56.4785 58.5545
50.0 50.0
