Instance: Direction_Num_12_ID_17_R_6
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 371.44219202557423
Runtime: 299.66799998283386
Gap: 0
Path: 
50.0 50.0
104.2267 23.0746
85.8795 9.1509
78.742 13.4178
85.2802 23.5779
93.2376 35.9435
96.7572 39.9389
101.2598 45.053
102.3619 53.0278
103.901 64.1706
106.1585 74.8441
102.425 74.3864
87.636 70.5276
68.7572 78.1616
71.6862 89.9214
72.1888 91.9365
75.4328 104.9582
66.8441 109.4047
54.7922 94.1444
56.4127 82.731
51.1907 77.3332
40.9885 66.7865
30.5092 55.9483
21.3025 46.4283
12.5012 37.3266
50.0 50.0
