Instance: Direction_Num_12_ID_8_R_4
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 466.70295718318715
Runtime: 16.581000089645386
Gap: 0
Path: 
50.0 50.0
42.5997 44.4163
29.8708 32.729
21.0617 24.6436
7.4328 12.1292
33.5839 8.7593
40.1794 14.4802
49.3631 22.4456
51.6776 24.4541
56.6736 13.3076
73.3666 30.3446
81.6917 47.9896
87.925 55.7518
93.3718 62.5335
98.8783 69.3901
102.38 92.2954
116.5671 113.6113
77.7457 100.1373
66.4342 96.2098
28.393 103.572
13.3794 92.8347
75.6921 84.765
58.4968 62.5948
55.009 58.0996
45.7837 46.2094
50.0 50.0
