Instance: Direction_Num_12_ID_3_R_2
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 518.2449124193193
Runtime: 42.01799988746643
Gap: 0
Path: 
50.0 50.0
21.3171 97.2546
3.0172 81.4861
4.8177 94.4732
14.8689 104.3925
37.0355 92.8785
53.6152 106.6713
53.0671 95.9429
39.9964 81.0755
71.8903 66.4217
92.6567 83.9685
98.9621 81.5733
113.5771 92.0657
116.6582 36.6492
115.1958 32.323
101.2539 18.6481
114.4117 26.2037
100.1191 15.2783
97.7495 13.4684
74.794 9.247
88.494 27.1926
82.4761 30.4666
95.6645 45.9995
90.7927 49.521
70.9286 33.18
50.0 50.0
