Instance: Direction_Num_12_ID_8_R_6
Steiner-visit: True
Benders Cut: Mileage
Formulation: DFJ
OFV: 433.84048162074725
Runtime: 134.83500003814697
Gap: 0
Path: 
50.0 50.0
26.4464 101.5805
15.3915 90.7242
34.0732 48.1207
25.3371 35.9654
18.1137 25.917
9.0981 13.3676
33.3489 10.7665
41.5299 16.0738
51.3963 22.47
53.8 19.0533
56.4043 15.3543
71.9384 31.7749
82.1637 47.4426
89.9955 59.4443
90.2539 59.8411
97.1386 70.3924
104.1604 91.366
115.2304 112.0909
79.9629 98.5908
72.5356 90.7437
73.4689 87.26
57.3351 63.0302
55.8195 60.7603
47.1164 47.7011
50.0 50.0
