Instance: Uniform_Num_12_ID_19_R_2
Steiner-visit: False
Benders Cut: Mileage
Formulation: DFJ
OFV: 529.3591854520743
Runtime: 2.8470001220703125
Gap: 0
Path: 
50.0 50.0
53.341 59.7481
64.0191 71.9435
83.7503 73.5455
68.2251 59.7795
67.8601 57.0646
102.9604 65.52
107.8108 42.1475
96.587 62.7495
100.7239 68.6743
87.1992 80.6571
95.5311 81.9536
64.7562 84.6643
48.2184 89.6108
21.5536 111.953
29.5013 56.9676
6.3427 56.002
2.319 43.9501
29.3516 37.4488
18.369 4.3843
37.5975 4.4813
34.1942 12.0379
57.5855 15.9741
53.873 6.9937
57.4703 22.3659
50.0 50.0
